PassengerId,Survived
384,0.8625052364922704
882,0.10547871041287515
276,0.6942215914484011
648,0.3543848486883669
224,0.1670334559537755
855,0.5769631277880669
81,0.15668904238168307
389,0.22251240799933603
796,0.20965502741111053
250,0.09558485018420618
751,0.8660167756132059
837,0.16193734851591501
495,0.16153003832389423
147,0.13087977930236241
198,0.07135313502064031
80,0.5390110615725814
763,0.2092103865847719
145,0.3830491004013196
244,0.15547762895020814
154,0.07462676431018275
529,0.08450113680181057
876,0.7356844885819074
13,0.1671387155324786
362,0.2814378741887386
605,0.5533011121397233
218,0.14776569792766414
279,0.12351159841911208
666,0.18436203364977313
242,0.6833126470238903
610,0.9242165598435721
96,0.1671387155324786
282,0.12633493860162215
280,0.39071972158590895
584,0.5596540198844551
50,0.5747488771755142
225,0.43806071702353416
169,0.3090362460895036
99,0.7334532097898153
395,0.5734042131221694
191,0.7517659905996894
519,0.6540922044307464
730,0.491726824759576
331,0.5875868681903699
789,0.21988736942216808
317,0.755323953631546
695,0.25209393524569024
556,0.23700597014392122
587,0.16192787075004247
465,0.1671387155324786
473,0.6551589493723234
102,0.1670334559537755
664,0.094295856240383
467,0.2338769641556936
62,0.9022452069005646
58,0.16023930187116067
494,0.24162348081601184
327,0.03593097399176108
382,0.8191882537101013
811,0.13564904861833266
685,0.07643666020903206
116,0.16144701549055035
516,0.37288700501222793
143,0.5116531002234181
226,0.15691602218171322
625,0.1669495434233536
887,0.3021943048884656
416,0.5839186030358989
293,0.28399960607232083
508,0.30969123741069404
781,0.7512644991321723
295,0.14552020933745402
64,0.10951991116494811
836,0.885226741536127
55,0.288898108007323
580,0.1094090412601549
758,0.3830491004013196
358,0.7032840150287363
725,0.5048151175312368
622,0.3552397677171746
231,0.8798107769644742
881,0.80131454588591
237,0.1371899815504545
361,0.04974908771492249
740,0.1670334559537755
545,0.40655381964410553
431,0.5546687286692501
266,0.2285116082947471
232,0.12185353983150045
658,0.5537174364199138
617,0.07035269124220354
134,0.715650641369314
196,0.8820712075464513
741,0.3133205029065078
736,0.13086695647778337
206,0.7732826916221883
852,0.021604718881276255
370,0.9535645143080611
54,0.715650641369314
769,0.15377653262327431
30,0.1670334559537755
311,0.9564832669918072
525,0.18965929980846072
550,0.40639409225277384
100,0.19303924698391117
119,0.8434288874859552
765,0.19092462857226086
692,0.8084731143400533
313,0.7275688476762957
651,0.1670334559537755
341,0.4534965442760952
401,0.08450113680181057
43,0.19016231892057905
671,0.6163921440053295
594,0.7343551420130457
684,0.04094837692250785
219,0.9387554533339837
469,0.22250884405123092
835,0.17900144140847654
365,0.14833613429209164
478,0.08707105389391938
704,0.22252301522884052
577,0.736210362977558
355,0.1896561337044897
84,0.5794095149235264
572,0.6741760802132499
267,0.05540239755024245
