id,Цена
747,2127984.8891922235
962,1772632.182626158
1105,2238516.427838236
795,4595085.881788701
390,2652391.8572613
1302,1745774.3351881206
1448,2686162.9665391445
1388,3145539.373339504
126,938862.9881359339
1605,2859316.591254741
870,2418189.7624593377
701,1327472.6601535082
1239,3965653.2023034096
1201,5214594.657261968
685,1916663.1570078135
427,2138572.2825556695
168,785527.0510427654
1181,3892042.3650720716
1428,2203857.790295422
347,2435260.85369426
1385,1584652.6188628078
220,1602396.905590564
125,3182911.465033561
197,1728819.6618219316
1108,2750188.3841513693
1166,3197936.702632129
871,4753323.432401985
1544,2244925.168763578
513,2869644.3713807166
1431,2561745.0267300606
194,3031528.6930537224
1401,2370411.053938657
509,2658276.1597011685
381,4975811.412513435
361,2292186.384693563
1254,2456710.3345043063
609,916728.0653724372
349,3532619.5846426487
1067,3124292.599827647
970,3362975.6950286627
1062,2311646.900955558
301,4151981.6011607945
593,4612835.241160929
1491,2617589.7049635053
652,1987481.509002179
1262,2084490.4920506477
1459,3457000.6805201173
1089,1273580.4618341625
436,3340865.7154753506
259,2291556.261716813
1566,2810436.986560017
499,2109337.958067417
943,4729477.484721094
316,2946381.810515225
1123,2174314.0672418177
1185,1528694.7494954467
158,938585.6635575294
817,1246810.9369940758
1380,4173503.5755026042
829,2649404.5557572246
1326,2868798.6603858173
1390,2985455.629453838
1514,2648978.5766283274
1444,2869602.456761539
763,2263476.7570780814
680,2990356.678054124
337,1702049.716129154
20,4624074.557032883
413,2155331.1907271743
515,2129425.5257843137
18,4729180.461536169
1513,1950109.5216635168
544,3223420.441572964
136,3572276.5417242646
93,1438858.1711125374
1581,2129339.7512293756
1571,2532158.00722754
1356,1693536.8346185982
1387,2435383.6133497357
1432,2552762.43451035
1226,2370747.048719585
600,2551380.023428619
846,613744.180365175
872,2442797.276709944
1183,968372.9411738813
1599,4603924.167369604
1129,1060866.4291921854
1402,2551968.039439857
1242,2464840.711794883
890,6190972.830934286
1046,3180633.183811754
638,2585519.433223009
134,3491074.958733678
794,2824326.626055211
333,2403234.0688448846
1408,749079.1899085045
1120,2230064.12284258
1072,1380255.604992032
692,1103003.5233268738
1261,3734081.139826387
1469,2144177.918976575
510,2712098.9123888016
786,2080003.8234570622
1165,2949540.748327017
204,1083845.3275260925
602,4383259.501609445
269,4143521.699750334
1306,2782870.767891437
551,1770690.1363223493
113,1526792.4562643766
1142,3147962.546770394
514,2897620.303101778
1282,2868704.815729767
952,3138804.0123113394
1265,2638252.447180301
1503,2875989.879186362
1389,4035174.709968984
956,2956543.6844471097
497,2901503.4703188837
589,3923402.4962108135
1498,4454959.781251162
232,1576734.4674351513
1564,2964730.585976243
82,2262198.2161414027
312,2853976.0360168815
1393,2415638.594175905
1222,3248468.5562330186
758,734564.536185056
1361,1127627.3843480945
1295,2434977.9820777476
659,1403580.7477629185
236,1744125.5325801075
569,1948548.0072297156
1204,2870994.244335979
1309,3988747.1711385846
1126,2245364.2763893604
743,3598490.238518119
1360,1422855.8734966815
566,4819781.934801608
688,3735764.516791731
4,2434629.1785110533
1407,1927908.447492689
506,6604275.781619757
1347,3994002.7270030975
1308,4585516.298699468
1474,2274564.5179520845
605,4134749.093636453
571,3706769.73170048
1029,2739972.8329627514
1169,2163099.680318713
1131,3122694.4134759307
938,2191589.823987782
555,3407436.088717133
1313,3304444.451096326
157,964990.9208086133
1249,2764220.389503598
529,2689087.4044905007
139,3883764.002435684
1395,2415638.594175905
1396,4322272.958973587
1050,3422035.459729463
325,2850320.231592834
995,863279.669215411
348,3062256.050022006
738,5043308.956177115
1284,3437353.2056882083
1040,3489194.4011833966
644,2138762.5368361175
1496,5377707.064855754
201,2234215.9293782115
784,1579024.2235175967
346,1521396.5900273025
1480,1996050.1423012018
920,2657814.984934628
428,1275306.169530183
334,3326629.826860875
503,3907410.18563354
1117,2471253.2903530896
698,1672757.6915272176
1320,5247167.711035758
34,2311980.5593663156
1219,4462501.234958708
108,2033393.0134837031
438,1364669.6937758327
247,3086560.3753248453
651,2255692.687781632
1141,3922229.5894536376
576,5220837.491779804
471,1986462.2251877487
592,4016502.479384184
162,922388.6239803433
72,4949180.021539599
293,845534.5948336124
855,3221841.6855015457
898,5557287.366679072
718,4201612.667656124
277,3261580.6957443357
876,2910045.429976672
478,3084064.1559206843
1589,2264540.6678551435
1267,1860028.8657391667
378,2236655.148148328
1404,1233489.953320086
53,2587267.2737677097
84,3247621.807846427
714,1986743.3164132237
669,1950914.3951373696
525,2776673.302337289
444,2214816.9046262503
43,2721850.172417432
857,1200245.4174079895
550,3114341.9653968513
843,3405881.6374648213
869,1904535.1148189604
1271,2931973.559947133
211,2204896.7803091705
1475,3307143.157449156
1381,2074236.894534856
276,4025371.515413016
552,3141951.699290961
41,5169185.337931246
